"","REPORTING_PERIOD_START","SECONDARY_LEVEL","METRIC_VALUE"
"1",2019-04-01,"0 - 17",5475
"2",2019-05-01,"0 - 17",6085
"3",2019-06-01,"0 - 17",5040
"4",2019-07-01,"0 - 17",6720
"5",2019-08-01,"0 - 17",4135
"6",2019-09-01,"0 - 17",4615
"7",2019-10-01,"0 - 17",8055
"8",2019-11-01,"0 - 17",5875
"9",2019-12-01,"0 - 17",5595
"10",2020-01-01,"0 - 17",6485
"11",2020-02-01,"0 - 17",6670
"12",2020-03-01,"0 - 17",6450
"13",2020-04-01,"0 - 17",3385
"14",2020-05-01,"0 - 17",3535
"15",2020-06-01,"0 - 17",4665
"16",2020-07-01,"0 - 17",5100
"17",2020-08-01,"0 - 17",3065
"18",2020-09-01,"0 - 17",5065
"19",2020-10-01,"0 - 17",7340
"20",2020-11-01,"0 - 17",7125
"21",2020-12-01,"0 - 17",6335
"22",2021-01-01,"0 - 17",5910
"23",2021-02-01,"0 - 17",6470
"24",2021-03-01,"0 - 17",8590
"25",2021-04-01,"0 - 17",7265
"26",2021-05-01,"0 - 17",9205
"27",2021-06-01,"0 - 17",8585
"28",2021-07-01,"0 - 17",8665
"29",2021-08-01,"0 - 17",5560
"30",2021-09-01,"0 - 17",7220
"31",2021-10-01,"0 - 17",7285
"32",2021-11-01,"0 - 17",9140
"33",2021-12-01,"0 - 17",8610
"34",2022-01-01,"0 - 17",10040
"35",2022-02-01,"0 - 17",12280
"36",2022-03-01,"0 - 17",12060
"37",2022-04-01,"0 - 17",8635
"38",2022-05-01,"0 - 17",10860
"39",2022-06-01,"0 - 17",8455
"40",2019-04-01,"18 - 24",620
"41",2019-05-01,"18 - 24",780
"42",2019-06-01,"18 - 24",675
"43",2019-07-01,"18 - 24",1000
"44",2019-08-01,"18 - 24",915
"45",2019-09-01,"18 - 24",1000
"46",2019-10-01,"18 - 24",1030
"47",2019-11-01,"18 - 24",1125
"48",2019-12-01,"18 - 24",930
"49",2020-01-01,"18 - 24",1055
"50",2020-02-01,"18 - 24",1020
"51",2020-03-01,"18 - 24",1020
